player_id,signup_date,country,device_type,avg_session_time,sessions_per_week,last_purchase_amount,total_spent,level_reached,retention_days,churned,satisfaction_score,bug_reports,has_premium
P0000,2025-02-21,India,Android,34.97,4,20.11,66.06,24,131,0,6.0,4.0,True
P0001,2025-04-19,India,PC,28.62,4,3.63,40.830000000000005,89,49,0,10.0,,True
P0002,2025-02-21,USA,Android,31.42,4,0.0,142.54,14,9,1,10.0,4.0,False
P0003,2024-11-07,Brazil,iOS,29.65,5,4.96,15.02,4,2,1,6.0,5.0,False
P0004,2025-04-28,Inda,iOS,16.72,7,0.0,2.31,40,82,0,,7.0,True
P0005,2025-04-22,Usa,Android,31.97,4,0.0,3.87,71,9,1,,,True
P0006,2025-02-25,UK,PC,35.82,4,0.0,99.43,72,12,1,,0.0,False
P0007,2024-12-12,Inda,PC,38.88,2,0.0,65.39,86,35,0,1.0,2.0,True
P0008,2024-11-28,Japan,Android,33.62,6,1.14,2.74,52,96,0,4.0,,False
P0009,2025-03-29,UK,PC,23.55,4,3.42,12.209999999999999,66,170,0,9.0,,False
P0010,2024-11-14,Brazil,PC,thirty,6,0.0,12.93,62,121,0,4.0,8.0,True
P0011,2025-03-19,Germany,iOS,33.15,5,0.0,13.99,59,118,0,8.0,,True
P0012,2024-11-21,Brazil,Android,23.37,4,60.93,76.45,2,130,0,,,True
P0013,2025-03-02,Brazil,PC,28.54,4,42.44,56.3,68,123,0,,5.0,False
P0014,2024-11-09,Usa,PC,44.03,5,0.42,45.11,59,164,0,,9.0,True
P0015,2024-12-18,Japan,PC,15.98,5,27.6,35.0,92,178,0,,,True
P0016,2025-02-13,Germany,PC,38.14,4,22.75,138.09,9,99,0,3.0,2.0,True
P0017,2025-03-12,Germany,PC,17.69,12,6.65,36.4,61,169,0,4.0,,False
P0018,2024-12-06,UK,PC,29.95,5,0.0,35.55,86,119,0,6.0,5.0,False
P0019,2025-01-07,Inda,Android,26.17,8,0.0,34.58,4,35,0,1.0,,True
P0020,2024-11-15,Japan,PC,29.88,8,3.65,1000usd,33,67,0,2.0,,True
P0021,2025-03-30,Germany,iOS,31.91,4,11.12,33.33,27,130,0,10.0,,False
P0022,2025-03-05,USA,Android,34.5,4,0.05,49.48,20,65,0,,2.0,True
