,player_id,avg_session_time,sessions_per_week,last_purchase_amount,total_spent,level_reached,retention_days,churned,satisfaction_score,bug_reports,has_premium,signup_month,signup_dayofweek,country_Brazil,country_Germany,country_India,country_Japan,country_USA,country_United Kingdom,device_Android,device_PC,device_iOS
0,P0000,34.97,4,20.11,66.06,24,131,0,6.0,4.0,True,2.0,4.0,0,0,1,0,0,0,1,0,0
1,P0001,28.62,4,3.63,40.830000000000005,89,49,0,10.0,0.0,True,4.0,5.0,0,0,1,0,0,0,0,1,0
2,P0002,31.42,4,0.0,142.54,14,9,1,10.0,4.0,False,2.0,4.0,0,0,0,0,1,0,1,0,0
3,P0003,29.65,5,4.96,15.02,4,2,1,6.0,5.0,False,11.0,3.0,1,0,0,0,0,0,0,0,1
4,P0004,16.72,7,0.0,2.31,40,82,0,6.0,7.0,True,4.0,0.0,0,0,1,0,0,0,0,0,1
5,P0005,31.97,4,0.0,3.87,71,9,1,6.0,0.0,True,4.0,1.0,0,0,0,0,1,0,1,0,0
6,P0006,35.82,4,0.0,99.43,72,12,1,6.0,0.0,False,2.0,1.0,0,0,0,0,0,1,0,1,0
7,P0007,38.88,2,0.0,65.39,86,35,0,1.0,2.0,True,12.0,3.0,0,0,1,0,0,0,0,1,0
8,P0008,33.62,6,1.14,2.74,52,96,0,4.0,0.0,False,11.0,3.0,0,0,0,1,0,0,1,0,0
9,P0009,23.55,4,3.42,12.209999999999999,66,170,0,9.0,0.0,False,3.0,5.0,0,0,0,0,0,1,0,1,0
10,P0010,29.795,6,0.0,12.93,62,121,0,4.0,8.0,True,11.0,3.0,1,0,0,0,0,0,0,1,0
11,P0011,33.15,5,0.0,13.99,59,118,0,8.0,0.0,True,3.0,2.0,0,1,0,0,0,0,0,0,1
12,P0012,23.37,4,60.93,76.45,2,130,0,6.0,0.0,True,11.0,3.0,1,0,0,0,0,0,1,0,0
13,P0013,28.54,4,42.44,56.3,68,123,0,6.0,5.0,False,3.0,6.0,1,0,0,0,0,0,0,1,0
14,P0014,44.03,5,0.42,45.11,59,164,0,6.0,9.0,True,11.0,5.0,0,0,0,0,1,0,0,1,0
15,P0015,15.98,5,27.6,35.0,92,178,0,6.0,0.0,True,12.0,2.0,0,0,0,1,0,0,0,1,0
16,P0016,38.14,4,22.75,138.09,9,99,0,3.0,2.0,True,2.0,3.0,0,1,0,0,0,0,0,1,0
17,P0017,17.69,12,6.65,36.4,61,169,0,4.0,0.0,False,3.0,2.0,0,1,0,0,0,0,0,1,0
18,P0018,29.95,5,0.0,35.55,86,119,0,6.0,5.0,False,12.0,4.0,0,0,0,0,0,1,0,1,0
19,P0019,26.17,8,0.0,34.58,4,35,0,1.0,0.0,True,1.0,1.0,0,0,1,0,0,0,1,0,0
20,P0020,29.88,8,3.65,42.17,33,67,0,2.0,0.0,True,11.0,4.0,0,0,0,1,0,0,0,1,0
21,P0021,31.91,4,11.12,33.33,27,130,0,10.0,0.0,False,3.0,6.0,0,1,0,0,0,0,0,0,1
22,P0022,34.5,4,0.05,49.48,20,65,0,6.0,2.0,True,3.0,2.0,0,0,0,0,1,0,1,0,0
23,P0023,47.79,4,6.27,45.379999999999995,22,58,0,10.0,0.0,True,12.0,1.0,1,0,0,0,0,0,0,1,0
24,P0024,33.54,6,5.3,65.42,40,52,0,2.0,0.0,False,11.0,0.0,0,1,0,0,0,0,1,0,0
25,P0025,11.2,4,0.26,164.63,23,127,0,9.0,0.0,False,4.0,6.0,1,0,0,0,0,0,0,1,0
26,P0026,14.51,4,10.7,39.31,93,76,0,6.0,2.0,True,2.0,1.0,0,0,1,0,0,0,0,0,1
27,P0027,26.57,2,0.0,2.35,94,144,0,10.0,9.0,True,1.0,2.0,1,0,0,0,0,0,1,0,0
28,P0028,-2.41,5,4.69,53.849999999999994,58,96,0,1.0,7.0,True,1.0,3.0,0,0,1,0,0,0,0,1,0
29,P0029,19.76,3,0.27,44.34,91,84,0,6.0,0.0,True,12.0,3.0,0,0,1,0,0,0,1,0,0
30,P0030,19.66,7,4.74,6.73,35,81,0,6.0,7.0,False,,,0,1,0,0,0,0,0,1,0
31,P0031,32.04,6,0.0,137.95,36,21,1,6.0,0.0,False,11.0,4.0,0,0,0,0,1,0,1,0,0
32,P0032,35.52,10,1.09,117.51,62,84,0,9.0,5.0,True,2.0,0.0,0,0,0,0,1,0,0,0,1
33,P0033,22.9,2,0.0,159.15,19,76,0,9.0,6.0,True,2.0,5.0,0,0,0,0,1,0,0,1,0
34,P0034,31.04,3,9.22,49.56,85,53,0,6.0,8.0,False,3.0,1.0,1,0,0,0,0,0,0,1,0
35,P0035,32.68,4,13.36,52.83,75,146,0,9.0,0.0,True,11.0,5.0,0,0,0,0,0,1,1,0,0
36,P0036,30.9,5,7.2,20.48,8,109,0,1.0,5.0,True,1.0,6.0,0,0,0,0,1,0,0,1,0
37,P0037,30.83,8,23.68,29.57,67,173,0,2.0,0.0,True,11.0,1.0,0,1,0,0,0,0,0,0,1
38,P0038,38.52,6,0.0,37.58,6,58,0,6.0,0.0,False,4.0,3.0,0,1,0,0,0,0,0,0,1
39,P0039,37.68,5,2.44,19.880000000000003,1,117,0,6.0,5.0,True,2.0,3.0,0,0,0,1,0,0,0,0,1
40,P0040,44.37,4,4.09,13.39,36,90,0,8.0,0.0,True,2.0,3.0,0,0,0,1,0,0,1,0,0
41,P0041,22.98,3,6.04,7.68,73,161,0,5.0,3.0,True,12.0,3.0,0,0,0,0,1,0,0,1,0
42,P0042,14.85,3,8.7,134.47,10,56,0,2.0,0.0,True,3.0,2.0,0,1,0,0,0,0,1,0,0
43,P0043,36.8,1,4.72,87.9,96,177,0,5.0,0.0,False,4.0,5.0,1,0,0,0,0,0,0,1,0
44,P0044,33.41,5,20.0,103.81,95,133,0,6.0,2.0,False,1.0,6.0,0,0,0,1,0,0,1,0,0
45,P0045,29.14,6,30.8,77.39,62,113,0,6.0,0.0,False,4.0,2.0,0,0,0,0,1,0,1,0,0
46,P0046,21.72,9,0.29,70.64,85,142,0,2.0,10.0,True,3.0,2.0,0,0,1,0,0,0,1,0,0
47,P0047,26.96,2,4.32,48.89,30,79,0,3.0,1.0,False,2.0,6.0,0,0,0,1,0,0,1,0,0
48,P0048,32.0,8,6.15,201.83,53,126,0,6.0,8.0,False,12.0,0.0,0,0,0,1,0,0,1,0,0
49,P0049,8.29,6,0.0,103.7,27,93,0,2.0,9.0,False,11.0,4.0,0,0,1,0,0,0,1,0,0
50,P0050,36.16,2,0.0,39.78,5,12,1,6.0,1.0,False,2.0,4.0,0,0,0,1,0,0,0,1,0
51,P0051,24.71,3,6.56,64.76,56,94,0,1.0,9.0,False,2.0,1.0,0,0,0,0,0,1,0,0,1
52,P0052,31.78,6,0.0,7.99,7,3,1,7.0,0.0,True,2.0,1.0,0,0,0,1,0,0,1,0,0
53,P0053,30.36,4,3.14,26.82,74,39,0,9.0,0.0,True,3.0,6.0,0,0,0,0,0,1,0,1,0
